K,Bytes,AvgTimeMs
# Client started: Wed Jan 28 01:08:00 MSK 2026
# Parameters: N=1024, M=5000, Q=10
448,458760,47
449,459784,50
450,460808,47
451,461832,56
452,462856,53
453,463880,48
454,464904,51
455,465928,47
456,466952,54
457,467976,53
458,469000,52
459,470024,54
460,471048,53
461,472072,50
462,473096,54
463,474120,58
464,475144,50
465,476168,52
466,477192,48
467,478216,51
468,479240,47
469,480264,51
470,481288,50
471,482312,54
472,483336,50
473,484360,59
474,485384,48
475,486408,46
476,487432,50
477,488456,48
478,489480,52
479,490504,51
480,491528,53
481,492552,58
482,493576,58
483,494600,58
484,495624,53
485,496648,59
486,497672,55
487,498696,52
488,499720,52
489,500744,50
490,501768,55
491,502792,52
492,503816,49
493,504840,50
494,505864,55
495,506888,51
496,507912,54
497,508936,56
498,509960,54
499,510984,57
500,512008,56
501,513032,59
502,514056,52
503,515080,52
504,516104,53
505,517128,51
506,518152,51
507,519176,58
508,520200,56
509,521224,49
510,522248,53
511,523272,53
512,524296,53
513,525320,52
514,526344,55
515,527368,52
516,528392,61
517,529416,53
518,530440,52
519,531464,61
520,532488,59
521,533512,50
522,534536,56
523,535560,51
524,536584,57
525,537608,52
526,538632,60
527,539656,56
528,540680,51
529,541704,56
530,542728,52
531,543752,56
532,544776,58
533,545800,52
534,546824,55
535,547848,51
536,548872,56
537,549896,50
538,550920,58
539,551944,52
540,552968,53
541,553992,61
542,555016,57
543,556040,53
544,557064,56
545,558088,58
546,559112,52
547,560136,58
548,561160,58
549,562184,58
550,563208,53
551,564232,54
552,565256,59
553,566280,61
554,567304,52
555,568328,59
556,569352,53
557,570376,53
558,571400,57
559,572424,56
560,573448,52
561,574472,53
562,575496,57
563,576520,60
564,577544,72
565,578568,51
566,579592,55
567,580616,54
568,581640,51
569,582664,52
570,583688,61
571,584712,51
572,585736,58
573,586760,56
574,587784,57
575,588808,57
576,589832,55
577,590856,56
578,591880,56
579,592904,49
580,593928,53
581,594952,58
582,595976,56
583,597000,54
584,598024,62
585,599048,58
586,600072,54
587,601096,58
588,602120,60
589,603144,58
590,604168,56
591,605192,53
592,606216,57
593,607240,53
594,608264,58
595,609288,54
596,610312,60
597,611336,57
598,612360,57
599,613384,58
600,614408,63
601,615432,55
602,616456,54
603,617480,55
604,618504,60
605,619528,62
606,620552,62
607,621576,59
608,622600,62
609,623624,55
610,624648,53
611,625672,59
612,626696,63
613,627720,56
614,628744,55
615,629768,57
616,630792,54
617,631816,55
618,632840,61
619,633864,57
620,634888,56
621,635912,53
622,636936,60
623,637960,59
624,638984,58
625,640008,55
626,641032,56
627,642056,57
628,643080,54
629,644104,54
630,645128,66
631,646152,58
632,647176,56
633,648200,59
634,649224,62
635,650248,56
636,651272,54
637,652296,75
638,653320,56
639,654344,55
640,655368,59
641,656392,62
642,657416,68
643,658440,59
644,659464,56
645,660488,63
646,661512,61
647,662536,61
648,663560,57
649,664584,64
650,665608,56
651,666632,57
652,667656,56
653,668680,54
654,669704,58
655,670728,55
656,671752,57
657,672776,56
658,673800,56
659,674824,58
660,675848,53
661,676872,55
662,677896,59
663,678920,53
664,679944,54
665,680968,53
666,681992,56
667,683016,56
668,684040,63
669,685064,57
670,686088,64
671,687112,59
672,688136,57
673,689160,65
674,690184,54
675,691208,63
676,692232,55
677,693256,57
678,694280,58
679,695304,57
680,696328,60
681,697352,56
682,698376,58
683,699400,61
684,700424,55
685,701448,59
686,702472,65
687,703496,58
688,704520,58
689,705544,57
690,706568,62
691,707592,56
692,708616,61
693,709640,60
694,710664,61
695,711688,59
696,712712,57
697,713736,60
698,714760,57
699,715784,55
700,716808,58
701,717832,59
702,718856,57
703,719880,62
704,720904,65
705,721928,59
706,722952,61
707,723976,62
708,725000,55
709,726024,55
710,727048,59
711,728072,59
712,729096,67
713,730120,63
714,731144,58
715,732168,63
716,733192,58
717,734216,121
718,735240,242
719,736264,98
720,737288,65
721,738312,71
722,739336,60
723,740360,59
724,741384,61
725,742408,66
726,743432,57
727,744456,60
728,745480,69
729,746504,65
730,747528,68
731,748552,64
732,749576,61
733,750600,62
734,751624,62
735,752648,59
736,753672,60
737,754696,70
738,755720,62
739,756744,74
740,757768,60
741,758792,57
742,759816,71
743,760840,67
744,761864,59
745,762888,61
746,763912,65
747,764936,62
748,765960,59
749,766984,58
750,768008,57
751,769032,62
752,770056,61
753,771080,58
754,772104,63
755,773128,59
756,774152,61
757,775176,58
758,776200,62
759,777224,62
760,778248,105
761,779272,77
762,780296,96
763,781320,68
764,782344,62
765,783368,62
766,784392,60
767,785416,58
768,786440,61
769,787464,66
770,788488,62
771,789512,56
772,790536,59
773,791560,61
774,792584,65
775,793608,62
776,794632,67
777,795656,57
778,796680,61
779,797704,62
780,798728,58
781,799752,68
782,800776,247
783,801800,197
784,802824,65
785,803848,61
786,804872,59
787,805896,91
788,806920,63
789,807944,66
790,808968,67
791,809992,68
792,811016,60
793,812040,61
794,813064,64
795,814088,66
796,815112,69
797,816136,78
798,817160,56
799,818184,59
800,819208,56
801,820232,61
802,821256,65
803,822280,75
804,823304,62
805,824328,67
806,825352,61
807,826376,57
808,827400,58
809,828424,60
810,829448,64
811,830472,69
812,831496,67
813,832520,66
814,833544,68
815,834568,60
816,835592,68
817,836616,59
818,837640,61
819,838664,64
820,839688,68
821,840712,74
822,841736,61
823,842760,57
824,843784,67
825,844808,60
826,845832,72
827,846856,61
828,847880,62
829,848904,69
830,849928,68
831,850952,73
832,851976,64
833,853000,63
834,854024,63
835,855048,61
836,856072,68
837,857096,66
838,858120,64
839,859144,58
840,860168,63
841,861192,65
842,862216,69
843,863240,68
844,864264,64
845,865288,64
846,866312,77
847,867336,62
848,868360,64
849,869384,61
850,870408,65
851,871432,57
852,872456,69
853,873480,62
854,874504,1780
855,875528,71
856,876552,71
857,877576,63
858,878600,63
859,879624,63
860,880648,70
861,881672,59
862,882696,67
863,883720,62
864,884744,62
865,885768,65
866,886792,75
867,887816,63
868,888840,61
869,889864,68
870,890888,63
871,891912,63
872,892936,64
873,893960,71
874,894984,67
875,896008,140
876,897032,301
877,898056,92
878,899080,61
879,900104,61
880,901128,63
881,902152,67
882,903176,68
883,904200,65
884,905224,72
885,906248,67
886,907272,66
887,908296,67
888,909320,69
889,910344,74
890,911368,62
891,912392,64
892,913416,64
893,914440,75
894,915464,69
895,916488,74
896,917512,63
897,918536,64
898,919560,68
899,920584,67
900,921608,67
901,922632,64
902,923656,60
903,924680,62
904,925704,62
905,926728,67
906,927752,66
907,928776,65
908,929800,67
909,930824,67
910,931848,59
911,932872,69
912,933896,59
913,934920,66
914,935944,67
915,936968,73
916,937992,64
917,939016,66
918,940040,65
919,941064,81
920,942088,285
921,943112,128
922,944136,70
923,945160,70
924,946184,70
925,947208,67
926,948232,64
927,949256,74
928,950280,62
929,951304,67
930,952328,77
931,953352,77
932,954376,70
933,955400,64
934,956424,70
935,957448,61
936,958472,75
937,959496,66
938,960520,64
939,961544,64
940,962568,71
941,963592,71
942,964616,88
943,965640,96
944,966664,103
945,967688,70
946,968712,69
947,969736,73
948,970760,70
949,971784,70
950,972808,68
951,973832,77
952,974856,72
953,975880,70
954,976904,69
955,977928,68
956,978952,71
957,979976,66
958,981000,72
959,982024,72
960,983048,69
961,984072,86
962,985096,328
963,986120,135
964,987144,67
965,988168,73
966,989192,74
967,990216,79
968,991240,75
969,992264,66
970,993288,69
971,994312,63
972,995336,73
973,996360,73
974,997384,67
975,998408,71
976,999432,71
977,1000456,71
978,1001480,67
979,1002504,82
980,1003528,69
981,1004552,71
982,1005576,65
983,1006600,69
984,1007624,71
985,1008648,68
986,1009672,68
987,1010696,75
988,1011720,66
989,1012744,65
990,1013768,79
991,1014792,81
992,1015816,72
993,1016840,69
994,1017864,67
995,1018888,66
996,1019912,68
997,1020936,73
998,1021960,73
999,1022984,83
1000,1024008,78
1001,1025032,76
1002,1026056,69
1003,1027080,84
1004,1028104,66
1005,1029128,76
1006,1030152,66
1007,1031176,62
1008,1032200,67
1009,1033224,70
1010,1034248,75
1011,1035272,98
1012,1036296,72
1013,1037320,77
1014,1038344,69
1015,1039368,84
1016,1040392,74
1017,1041416,75
1018,1042440,72
1019,1043464,70
1020,1044488,73
1021,1045512,69
1022,1046536,79
1023,1047560,73
1024,1048584,81
1025,1049608,70
1026,1050632,71
1027,1051656,74
1028,1052680,70
1029,1053704,70
1030,1054728,66
1031,1055752,68
1032,1056776,68
1033,1057800,73
1034,1058824,71
1035,1059848,71
1036,1060872,68
1037,1061896,72
1038,1062920,72
1039,1063944,73
1040,1064968,70
1041,1065992,73
1042,1067016,70
1043,1068040,78
1044,1069064,68
1045,1070088,66
1046,1071112,70
1047,1072136,74
1048,1073160,75
1049,1074184,75
1050,1075208,69
1051,1076232,76
1052,1077256,84
1053,1078280,77
