K,Bytes,AvgTimeMs
# Client started: Mon Jan 26 19:33:49 MSK 2026
# Parameters: N=64, M=1000, Q=15
450,28808,19
451,28872,17
452,28936,18
453,29000,20
454,29064,18
455,29128,18
456,29192,19
457,29256,17
458,29320,19
459,29384,17
460,29448,17
461,29512,18
462,29576,18
463,29640,20
464,29704,21
465,29768,22
466,29832,18
467,29896,18
468,29960,20
469,30024,18
470,30088,21
471,30152,18
472,30216,22
473,30280,19
474,30344,20
475,30408,18
476,30472,19
477,30536,21
478,30600,21
479,30664,18
480,30728,19
481,30792,20
482,30856,17
483,30920,19
484,30984,18
485,31048,19
486,31112,21
487,31176,19
488,31240,17
489,31304,20
490,31368,19
491,31432,34
492,31496,20
493,31560,20
494,31624,18
495,31688,20
496,31752,19
497,31816,19
498,31880,17
499,31944,19
500,32008,18
501,32072,22
502,32136,19
503,32200,20
504,32264,18
505,32328,19
506,32392,19
507,32456,21
508,32520,17
509,32584,17
510,32648,21
511,32712,17
512,32776,19
513,32840,18
514,32904,33
515,32968,20
516,33032,17
517,33096,19
518,33160,18
519,33224,18
520,33288,17
521,33352,18
522,33416,17
523,33480,17
524,33544,17
525,33608,17
526,33672,16
527,33736,32
528,33800,17
529,33864,18
530,33928,18
531,33992,19
532,34056,18
533,34120,17
534,34184,19
535,34248,19
536,34312,17
537,34376,19
538,34440,17
539,34504,17
540,34568,16
541,34632,16
542,34696,17
543,34760,17
544,34824,17
545,34888,17
546,34952,18
547,35016,16
548,35080,17
549,35144,19
550,35208,18
551,35272,19
552,35336,19
553,35400,21
554,35464,19
555,35528,17
556,35592,18
557,35656,19
558,35720,21
559,35784,20
560,35848,20
561,35912,22
562,35976,17
563,36040,18
564,36104,20
565,36168,20
566,36232,20
567,36296,20
568,36360,18
569,36424,22
570,36488,17
571,36552,20
572,36616,18
573,36680,18
574,36744,17
575,36808,21
576,36872,19
577,36936,20
578,37000,19
579,37064,19
580,37128,22
581,37192,18
582,37256,18
583,37320,21
584,37384,23
585,37448,21
586,37512,16
587,37576,21
588,37640,20
589,37704,21
590,37768,18
591,37832,19
592,37896,20
593,37960,21
594,38024,16
595,38088,22
596,38152,19
597,38216,20
598,38280,18
599,38344,19
600,38408,19
601,38472,18
602,38536,20
603,38600,20
604,38664,19
605,38728,18
606,38792,18
607,38856,19
608,38920,21
609,38984,20
610,39048,19
611,39112,19
612,39176,20
613,39240,19
614,39304,21
615,39368,18
616,39432,22
617,39496,20
618,39560,21
619,39624,24
620,39688,21
621,39752,21
622,39816,21
623,39880,21
624,39944,20
625,40008,18
626,40072,20
627,40136,19
628,40200,18
629,40264,19
630,40328,20
631,40392,19
632,40456,20
633,40520,18
634,40584,24
635,40648,38
636,40712,24
637,40776,23
638,40840,26
639,40904,21
640,40968,22
641,41032,24
642,41096,26
643,41160,23
644,41224,26
645,41288,23
646,41352,21
647,41416,24
648,41480,23
649,41544,25
650,41608,23
651,41672,22
652,41736,22
653,41800,22
654,41864,23
655,41928,22
656,41992,22
657,42056,25
658,42120,24
659,42184,21
660,42248,21
661,42312,22
662,42376,23
663,42440,23
664,42504,26
665,42568,24
666,42632,25
667,42696,24
668,42760,23
669,42824,20
670,42888,22
671,42952,22
672,43016,23
673,43080,21
674,43144,23
675,43208,24
676,43272,25
677,43336,22
678,43400,25
679,43464,22
680,43528,27
681,43592,26
682,43656,22
683,43720,24
684,43784,24
685,43848,24
686,43912,28
687,43976,23
688,44040,25
689,44104,26
690,44168,23
691,44232,24
692,44296,23
693,44360,27
694,44424,28
695,44488,23
696,44552,23
697,44616,26
698,44680,24
699,44744,41
700,44808,22
701,44872,23
702,44936,26
703,45000,24
704,45064,25
705,45128,22
706,45192,24
707,45256,25
708,45320,37
709,45384,26
710,45448,24
711,45512,24
712,45576,24
713,45640,25
714,45704,23
715,45768,26
716,45832,22
717,45896,23
718,45960,25
719,46024,22
720,46088,24
721,46152,25
722,46216,24
723,46280,22
724,46344,26
725,46408,23
726,46472,27
727,46536,27
728,46600,25
729,46664,24
730,46728,23
731,46792,23
732,46856,24
733,46920,23
734,46984,25
735,47048,26
736,47112,24
737,47176,26
738,47240,27
739,47304,26
740,47368,24
741,47432,23
742,47496,28
743,47560,28
744,47624,27
745,47688,26
746,47752,23
747,47816,25
748,47880,27
749,47944,25
750,48008,26
751,48072,25
752,48136,25
753,48200,25
754,48264,22
755,48328,29
756,48392,26
757,48456,23
758,48520,24
759,48584,28
760,48648,23
761,48712,23
762,48776,26
763,48840,28
764,48904,26
765,48968,30
766,49032,26
767,49096,25
768,49160,23
769,49224,23
770,49288,25
771,49352,24
772,49416,27
773,49480,24
774,49544,25
775,49608,25
776,49672,26
777,49736,26
778,49800,25
779,49864,27
780,49928,23
781,49992,25
782,50056,24
783,50120,23
784,50184,27
785,50248,22
786,50312,24
787,50376,24
788,50440,22
789,50504,26
790,50568,27
791,50632,25
792,50696,25
793,50760,27
794,50824,27
795,50888,24
796,50952,39
797,51016,29
798,51080,26
799,51144,25
800,51208,26
801,51272,27
802,51336,23
803,51400,27
804,51464,28
805,51528,23
806,51592,25
807,51656,23
808,51720,24
809,51784,24
810,51848,23
811,51912,25
812,51976,26
813,52040,25
814,52104,26
815,52168,36
816,52232,26
817,52296,28
818,52360,28
819,52424,26
820,52488,30
821,52552,28
822,52616,27
823,52680,24
824,52744,28
825,52808,30
826,52872,27
827,52936,30
828,53000,25
829,53064,25
830,53128,28
831,53192,28
832,53256,28
833,53320,25
834,53384,28
835,53448,27
836,53512,27
837,53576,23
838,53640,28
839,53704,28
840,53768,26
841,53832,27
842,53896,27
843,53960,29
844,54024,27
845,54088,25
846,54152,26
847,54216,24
848,54280,27
849,54344,24
850,54408,23
851,54472,29
852,54536,28
853,54600,25
854,54664,25
855,54728,29
856,54792,27
857,54856,24
858,54920,26
859,54984,25
860,55048,30
861,55112,28
862,55176,26
863,55240,27
864,55304,26
865,55368,25
866,55432,25
867,55496,24
868,55560,23
869,55624,26
870,55688,25
871,55752,29
872,55816,28
873,55880,26
874,55944,24
875,56008,27
876,56072,26
877,56136,28
878,56200,26
879,56264,31
880,56328,27
881,56392,28
882,56456,26
883,56520,30
884,56584,35
885,56648,33
886,56712,29
887,56776,30
888,56840,36
889,56904,29
890,56968,28
891,57032,28
892,57096,31
893,57160,35
894,57224,29
895,57288,27
896,57352,34
897,57416,31
898,57480,33
899,57544,29
900,57608,32
901,57672,31
902,57736,28
903,57800,31
904,57864,31
905,57928,30
906,57992,31
907,58056,39
908,58120,31
909,58184,36
910,58248,31
911,58312,30
912,58376,32
913,58440,31
914,58504,29
915,58568,30
916,58632,26
917,58696,29
918,58760,31
919,58824,35
920,58888,35
921,58952,37
922,59016,30
923,59080,37
924,59144,38
925,59208,32
926,59272,33
927,59336,32
928,59400,42
929,59464,32
930,59528,48
931,59592,28
932,59656,31
933,59720,30
934,59784,33
935,59848,35
936,59912,33
937,59976,30
938,60040,32
939,60104,37
940,60168,35
941,60232,39
942,60296,39
943,60360,35
944,60424,35
945,60488,26
946,60552,34
947,60616,36
948,60680,32
949,60744,25
950,60808,29
951,60872,30
952,60936,24
953,61000,29
954,61064,31
955,61128,27
956,61192,26
957,61256,29
958,61320,27
959,61384,31
960,61448,29
961,61512,28
962,61576,54
963,61640,31
964,61704,28
965,61768,26
966,61832,26
967,61896,37
968,61960,31
969,62024,27
970,62088,31
971,62152,25
972,62216,30
973,62280,30
974,62344,25
975,62408,29
976,62472,26
977,62536,29
978,62600,29
979,62664,28
980,62728,29
981,62792,26
982,62856,28
983,62920,28
984,62984,28
985,63048,29
986,63112,25
987,63176,27
988,63240,25
989,63304,29
990,63368,28
991,63432,26
992,63496,28
993,63560,28
994,63624,28
995,63688,27
996,63752,30
997,63816,25
998,63880,30
999,63944,27
